core_amp,repay_amp,buffer_amp,omega,access_qi_log10_L0max,access_qi_min_sampled_avg,access_positive_sample_fraction,repay_positive_sample_fraction,repay_qi_log10_L0max,access_max_abs_tidal,access_max_abs_rate,access_max_abs_flux,access_min_rho,access_max_rho,access_min_Gkk,repay_min_Gkk,access_quiet_open_fraction,access_open_fraction,failure_mode
0.0,0.0,0.0,4.0,-0.31079429492475685,-0.039742951877238517,0.0,0.0,-0.14927086629825514,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-0.9493824233766613,1.0,1.0,static-QI-preserved
0.0,0.0,0.0,8.0,-0.31079429492475685,-0.039742951877238517,0.0,0.0,-0.14927086629825514,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-0.9493824233766613,1.0,1.0,static-QI-preserved
0.0,0.0,0.0,16.0,-0.31079429492475685,-0.039742951877238517,0.0,0.0,-0.14927086629825514,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-0.9493824233766613,1.0,1.0,static-QI-preserved
0.0,0.0,0.0,32.0,-0.31079429492475685,-0.039742951877238517,0.0,0.0,-0.14927086629825514,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-0.9493824233766613,1.0,1.0,static-QI-preserved
0.0,0.0,0.0,64.0,-0.31079429492475685,-0.039742951877238517,0.0,0.0,-0.14927086629825514,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-0.9493824233766613,1.0,1.0,static-QI-preserved
0.0,0.06,0.020999999999999998,4.0,-0.31079429492475685,-0.039742951877238517,0.0,0.27650273224043714,-0.3120992672142062,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-7.6750523516022096,1.0,1.0,static-QI-preserved
0.0,0.06,0.020999999999999998,8.0,-0.31079429492475685,-0.039742951877238517,0.0,0.19271402550091074,-0.1728377658593609,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-12.76816845585619,1.0,1.0,static-QI-preserved
0.0,0.06,0.020999999999999998,16.0,-0.31079429492475685,-0.039742951877238517,0.0,0.22695810564663024,-0.1619507784243119,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-29.75176145199896,1.0,1.0,static-QI-preserved
0.0,0.06,0.020999999999999998,32.0,-0.31079429492475685,-0.039742951877238517,0.0,0.7715846994535519,0.03997041094413853,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-101.26369865553745,1.0,1.0,static-QI-preserved
0.0,0.06,0.020999999999999998,64.0,-0.31079429492475685,-0.039742951877238517,0.0,1.0,inf,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-388.4917707161198,1.0,1.0,static-QI-preserved
0.0,0.12,0.041999999999999996,4.0,-0.31079429492475685,-0.039742951877238517,0.0,0.35774134790528234,-0.4299888628824713,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-14.966981917918945,1.0,1.0,static-QI-preserved
