case,zone,qi_min_sampled_avg,qi_max_sampled_avg,qi_positive_sample_fraction,qi_strict_L0max_planck_units,qi_strict_log10_L0max,qi_strict_tau0,qi_strict_t0,qi_strict_l,qi_strict_avg
static_reference,access_core,-0.03975693022372609,-0.03555242776078432,0.0,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609
static_reference,support_inner,-0.03975693022372609,-0.023851087271914453,0.0,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609
static_reference,repayment_band,-0.019309965424224522,-0.007528156022991152,0.0,0.7013664983688684,-0.1540549825677452,1.0,-1.02,-0.6600000000000001,-0.019309965424224515
static_reference,buffer_band,-0.005945689735610873,-0.0018730462313314967,0.0,1.2639638241062374,0.10173464418697625,1.0,-0.782,-1.2599999999999998,-0.005945689735610872
static_reference,outer_field,-0.0013599939100074263,-0.00031500926787198544,0.0,2.6428181679941063,0.4220672836941987,1.0,-1.02,2.1000000000000005,-0.0013599939100074256
sideband_repay_only,access_core,-0.03975693022372609,-0.03555242776078432,0.0,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609
sideband_repay_only,support_inner,-0.18037966799506056,0.13281001688498292,0.03278688524590164,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609
sideband_repay_only,repayment_band,-0.26933205955084377,0.21123020159432154,0.3103825136612022,0.5148959317451811,-0.2882805395722579,1.0,1.02,-0.7199999999999998,-0.03582882866025726
sideband_repay_only,buffer_band,-0.11545915252522673,0.10391556529885647,0.175591985428051,0.8330199268529694,-0.07934460961508887,1.0,-1.02,-1.2599999999999998,-0.0136886541265505
sideband_repay_only,outer_field,-0.006145850241492446,0.003538025595489834,0.015300546448087432,2.8198985517909665,0.4502334844931584,1.0,0.0,2.1000000000000005,-0.0011945506309667358
protected_core_sidecycle,access_core,-0.03975693022372609,-0.03555242776078432,0.0,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609
protected_core_sidecycle,support_inner,-0.19636051739873703,0.14890541380675051,0.025136612021857924,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609
protected_core_sidecycle,repayment_band,-0.3006601713043991,0.29361194657721085,0.7757741347905283,0.9814566962774703,-0.008128857533791634,1.0,1.02,1.1399999999999997,-0.009861188170997688
protected_core_sidecycle,buffer_band,-0.14980645225910286,0.1420700267177815,0.8007285974499089,2.2434340128996437,0.3509132999644708,1.0,-1.02,-1.2599999999999998,-0.001887317344417063
protected_core_sidecycle,outer_field,-0.012909562320173165,0.011336863779885069,0.5069216757741348,3.286353173045019,0.5167142337377052,1.0,1.02,2.1000000000000005,-0.0008795146209925743
delayed_side_repay_with_static_core,access_core,-0.03975693022372609,-0.03555242776078432,0.0,0.48879791386624205,-0.31087065628087235,1.0,0.782,0.0,-0.03975693022372609
delayed_side_repay_with_static_core,support_inner,-0.21573157545197702,0.03575882656152535,0.003278688524590164,0.48042333232532425,-0.3183759087335959,1.0,0.3400000000000001,-0.54,-0.04115507035716384
