X,r_mode,U_proper,U_coord,q,E,packet_max_norm,packet_fail_points,packet_max_gtt,edge_max_gtt,edge_fail_points,release_packet_max_norm,rho_H_packet_p95_abs,j_packet_p95_abs,rho_H_edge_p95_abs,j_edge_p95_abs,R3_packet_p95_abs,K_packet_p95_abs,label
-0.35,v1,9.987925345500727,1.2484923447179497,0.9999998874648379,0.9999724643088854,-110587.38724520244,0,635582.1891477159,-18.305291871993724,0,73648.16411097613,0.1695978956284079,2.2666113381540116e-06,0.13172838440597995,0.06022744375494208,8.52491628376291,0.015607163524167168,slice_Xm0p350_v1
-0.15,v1,9.889730493769607,1.2362163797118624,0.9999991684719723,0.9997965730219448,-262133.81382439745,0,615786.3196281644,-18.30525795698609,0,,0.18436482002856427,2.0288183573406367e-07,0.1317283847569426,1.8507545308684431e-06,9.267185131556328,0.013050732378764671,slice_Xm0p150_v1
0.04999999999999999,v1,9.071160301417406,1.1338950387487066,0.9999938558253978,0.998498817743263,-153636.03246357208,0,458866.8798140774,-18.304975236711574,0,,0.19106308295866423,1.8678633582485838e-07,0.13172838735040568,3.029106637948036e-08,9.603864606081046,0.012547685521926817,slice_Xp0p050_v1
0.25,v1,5.25,0.6562502362795586,0.9999546021312975,0.9890130573694068,-349828.0016151406,0,-90795.5750814809,-18.302886429141864,0,,0.17020837263781277,1.0471323210627421e-07,0.13172840651297554,0.0003698410536192965,8.555605968934826,0.0058739510416599035,slice_Xp0p250_v1
0.44999999999999996,v1,1.4288396985825937,0.1786056202685503,0.9996646498695335,0.9241418199787564,-1.801928643730161,0,-18.287417446556855,-18.287417446556855,0,-1.801928643730161,0.16124068921245818,0.024441919488508327,0.1317285480649723,0.024441919488508344,8.104841018311593,14.504602149985413,slice_Xp0p450_v1
0.6499999999999999,v1,0.6102695062303938,0.07628488790454603,0.9975273768433652,0.6224593312018547,-0.6282630563997463,0,-1.000885695755297,-18.17418018704257,0,-15.180026109652177,0.13748639258375894,0.007373808642466663,0.1317295917637007,0.007373808642466666,6.910816642813007,4.375517773769238,slice_Xp0p650_v1
0.85,v1,0.5120746544992728,0.06401226805690044,0.9820137900379085,0.1824255238063563,-0.7378189528241772,0,-1.0000000008642282,-17.372723910087934,0,-15.327028288019545,0.11601562965952134,0.0017484694037571836,0.1317371831170916,0.0017484694037571843,5.831581597439142,1.020806919929595,slice_Xp0p850_v1
1.0499999999999998,v1,0.5013099910241552,0.06267044654305391,0.8807970779778826,0.02931223075135636,-0.7486953432873351,0,-1.000000000000003,-12.944165193194106,0,-11.356353570584231,0.09655141325637995,0.00018312297406948783,0.13178724171314193,0.00018312297406948786,4.853203369279287,0.09624809271619887,slice_Xp1p050_v1
1.25,v1,0.5001419785940673,0.06253112887645058,0.5,0.004070137715896094,-0.749811011992551,0,-1.0,-4.278469610545822,0,,0.07625044667169222,2.480977363246507e-07,0.1319480799277575,0.0002260960056746499,3.832765489547657,4.992884310903102e-05,slice_Xp1p250_v1
1.45,v1,0.5000153861446076,0.06252613778823858,0.11920292202211763,0.000552778636923601,-0.749864799721181,0,-1.0,-1.414174025355691,0,,0.06433069577226073,4.335172565319394e-12,0.13131004814001196,0.00040000802745522227,3.2336134598152686,8.790012827804105e-10,slice_Xp1p450_v1
