source_delay_after_R_close,source_comp_duration,derived_support_amp,derived_shoulder_amp,core_source_to_open_neg_ratio,support_source_to_open_neg_ratio,shoulder_source_to_open_neg_ratio,core_worst_qi_margin,core_worst_tau,core_worst_center,support_worst_qi_margin,support_worst_tau,shoulder_worst_qi_margin,shoulder_worst_tau,score_sampling
0.0,10.0,0.01684358281044355,0.00305302672129803,1.0431016707709564,1.7079353453840573,1.197775682860373,-0.0010584035018499972,5,176.05714285714285,-0.0075681526422459984,2,-0.008132205872277955,2,-0.013090591270869804
0.0,20.0,0.008421807385400434,0.0015265162571772072,1.0431307298168564,1.7122568801213904,1.2005424937903266,-0.0010682262713466552,5,177.17142857142858,-0.007568202765223656,2,-0.00813221125892703,2,-0.012901501138885378
0.0,40.0,0.004210905977841317,0.0007632585427877033,3.382261326660336,2.051881562049293,1.235980993594571,-0.0010824191599301909,5,179.4,-0.007568292540144989,2,-0.008132220906917217,2,-0.01281630544394637
0.0,80.0,0.0021054530340179796,0.00038162927956808215,1.6310248943713115,1.7977948694389274,1.2067319869001345,-0.001098528262051939,5,181.62857142857143,-0.00756843890036332,2,-0.008132236636053253,2,-0.012782827126713607
2.5,10.0,0.016843692145429825,0.003053046539090862,1.0431413169488244,1.707924514989469,1.1978809634609502,-0.0010638466308981282,5,176.61428571428573,-0.007568178463976669,2,-0.008132208647304663,2,-0.013096064192217542
2.5,20.0,0.008421817680408186,0.0015265181232251921,1.6937198803600897,1.8059737973294843,1.209997026404868,-0.0010726999819371543,5,177.72857142857143,-0.007568226916099826,2,-0.008132213854389246,2,-0.012906000541304271
2.5,40.0,0.0042109061882924514,0.0007632585809335625,3.297960607907051,2.0383257193383773,1.233783409359044,-0.0010855491623506968,5,179.95714285714286,-0.007568313801432439,2,-0.008132223191839216,2,-0.012819457855087263
2.5,80.0,0.0021054530697188086,0.0003816292860391273,1.5168790015349904,1.7801250907520965,1.2043904159329526,-0.0011002251426893328,5,182.18571428571428,-0.007568455740266887,2,-0.008132238445815069,2,-0.012784541752978914
5.0,10.0,0.016843582810443545,0.0030530267212980303,1.043141302694121,1.7079403921443002,1.1979286328874135,-0.0010687405971185136,5,177.72857142857143,-0.007568203416722608,2,-0.008132211328942745,2,-0.013100981868947325
5.0,20.0,0.008421808155158968,0.0015265163967017607,3.3329482705116193,2.0419036029091657,1.2338033824139023,-0.001076739749794564,5,178.84285714285716,-0.007568250271520824,2,-0.008132216364364963,2,-0.012910064694535085
5.0,40.0,0.0042109061882924514,0.0007632585809335626,3.048443184032454,2.000987729727647,1.2291967998845708,-0.0010883729368496838,5,180.51428571428573,-0.007568334389952595,2,-0.008132225404459816,2,-0.012822303324416707
5.0,80.0,0.0021054530351453785,0.0003816292797724317,1.4070010263276274,1.763092431520756,1.2021853676845533,-0.001101758359908103,5,182.18571428571428,-0.007568472084119887,2,-0.008132240202266994,2,-0.012786092191459843
10.0,10.0,0.016843588971952737,0.0030530278381181515,1.0430911513159165,1.7079339178160193,1.197774288696452,-0.0010771403050390353,5,178.84285714285716,-0.00756825086745756,2,-0.008132216428409483,2,-0.013109431722902755
10.0,20.0,0.008421809694655355,0.0015265166757471194,5.72099242922599,2.3833959790704373,1.2676705557041148,-0.0010836678693411782,5,179.4,-0.007568294732176776,2,-0.008132221142491926,2,-0.012917039700171967
10.0,40.0,0.004210906338615735,0.000763258608180794,2.2250772115793143,1.8798088546282956,1.2154400873309956,-0.0010932531693595242,5,181.07142857142858,-0.007568373659789311,2,-0.008132229624736413,2,-0.012827224940452972
10.0,80.0,0.0021054530385275745,0.00038162928038548027,1.216612931660617,1.7333197445589679,1.1984411808114532,-0.001104438059747082,5,182.74285714285716,-0.007568503360148982,2,-0.008132243563459821,2,-0.012788804848004235
20.0,10.0,0.01684361977618797,0.0030530334216186676,1.0472548996410267,1.706379053587517,1.196546363187035,-0.001089571837326069,5,180.51428571428573,-0.007568336903583032,2,-0.008132225674596302,2,-0.013121954642163387
20.0,20.0,0.008421815082675555,0.001526517652366514,1.0436560030312552,1.7056854425920223,1.196136097436305,-0.0010939907743904211,5,181.07142857142858,-0.007568375510172739,2,-0.008132229823594635,2,-0.012927447851061319
20.0,40.0,0.004210906458874986,0.0007632586299786926,1.0432062199516483,1.7051662753512042,1.1954274499414195,-0.001100595903209684,5,182.18571428571428,-0.0075684452708390795,2,-0.008132237320679726,2,-0.0128346431361657
20.0,80.0,0.0021054530520563286,0.0003816292828376693,1.0431501015891362,1.7042825178878453,1.1948998100379442,-0.0011085613553352416,5,183.3,-0.007568560751262137,2,-0.008132249731205653,2,-0.012792988618898085
