case,observer_family,tau,min_sampled_avg,center_at_min,qi_proxy_bound,qi_proxy_margin,status
v01_open_comp_only,core_line,0.5,-0.0012258188799512922,177.23333333333335,-0.15198177546350666,0.15075595658355537,above_proxy_bound
v01_open_comp_only,core_line,1.0,-0.0012098052051494907,177.23333333333335,-0.009498860966469166,0.008289055761319676,above_proxy_bound
v01_open_comp_only,core_line,2.0,-0.0011776953073308351,177.23333333333335,-0.0005936788104043229,-0.0005840164969265122,below_proxy_bound
v01_open_comp_only,core_line,5.0,-0.00108146477218886,177.23333333333335,-1.5198177546350666e-05,-0.0010662665946425095,below_proxy_bound
v01_open_comp_only,core_line,10.0,-0.0009261286277103038,176.8,-9.498860966469166e-07,-0.0009251787416136569,below_proxy_bound
v01_open_comp_only,core_line,20.0,-0.0006595336768239365,174.63333333333333,-5.936788104043229e-08,-0.0006594743089428961,below_proxy_bound
v01_open_comp_only,core_line,40.0,-0.00033692008284503394,167.70000000000002,-3.710492565027018e-09,-0.00033691637235246894,below_proxy_bound
v01_open_comp_only,core_line,80.0,,,-2.3190578531418863e-10,,
v01_open_comp_only,access_mean,0.5,-0.0012904739961849614,153.4,-0.15198177546350666,0.1506913014673217,above_proxy_bound
v01_open_comp_only,access_mean,1.0,-0.0011695088833910765,176.36666666666667,-0.009498860966469166,0.00832935208307809,above_proxy_bound
v01_open_comp_only,access_mean,2.0,-0.00113992953070547,176.36666666666667,-0.0005936788104043229,-0.0005462507203011471,below_proxy_bound
v01_open_comp_only,access_mean,5.0,-0.0010512014994582112,175.93333333333334,-1.5198177546350666e-05,-0.0010360033219118606,below_proxy_bound
v01_open_comp_only,access_mean,10.0,-0.0009074374706277267,175.5,-9.498860966469166e-07,-0.0009064875845310798,below_proxy_bound
v01_open_comp_only,access_mean,20.0,-0.0006578783984164087,173.76666666666668,-5.936788104043229e-08,-0.0006578190305353682,below_proxy_bound
v01_open_comp_only,access_mean,40.0,-0.0003488793877230546,167.26666666666668,-3.710492565027018e-09,-0.0003488756772304896,below_proxy_bound
v01_open_comp_only,access_mean,80.0,,,-2.3190578531418863e-10,,
v01_open_comp_only,support_mean,0.5,-0.008956851607265297,2.166666666666667,-0.15198177546350666,0.14302492385624135,above_proxy_bound
v01_open_comp_only,support_mean,1.0,-0.0088447674266954,4.333333333333334,-0.009498860966469166,0.000654093539773767,above_proxy_bound
v01_open_comp_only,support_mean,2.0,-0.008481551567292486,8.233333333333334,-0.0005936788104043229,-0.007887872756888164,below_proxy_bound
