score_name,rank,label,score,pkt_C0,pkt_C_perp,pkt_Rth,pkt_wth,v1_B0,v1_wB,n_J_geom,n_J_dyn,n_J_total
J_geom_plus_0p1J_dyn,10,C50_Cp3_B6_wB8,0.3133905554116362,50.0,3.0,1.25,0.12,6.0,8.0,0.31315090884515595,0.002396465664802507,0.05532063679947749
J_geom_plus_0p1J_dyn,11,C50_Cp3_B6_wB10,0.3133974960696043,50.0,3.0,1.25,0.12,6.0,10.0,0.31315808295792297,0.0023941311168135092,0.05531992165870908
J_geom_plus_0p1J_dyn,12,C50_Cp3_B6_wB12,0.3133999873027572,50.0,3.0,1.25,0.12,6.0,12.0,0.3131606579941246,0.002393293086325568,0.055319664903017166
J_geom_plus_0p1J_dyn,13,C75_Cp3_B6_wB6,0.3136396713897002,75.0,3.0,1.25,0.12,6.0,6.0,0.31331560699953337,0.00324064390166875,0.05604909369765521
J_geom_plus_0p1J_dyn,14,C75_Cp3_B6_wB8,0.3136642844579475,75.0,3.0,1.25,0.12,6.0,8.0,0.31334140188134546,0.0032288257660200935,0.056043681384406435
J_geom_plus_0p1J_dyn,15,C75_Cp3_B6_wB10,0.3136709935232018,75.0,3.0,1.25,0.12,6.0,10.0,0.3133484331996147,0.003225603235871545,0.05604220517338657
J_geom_plus_0p1J_dyn,16,C75_Cp3_B6_wB12,0.31367340161531515,75.0,3.0,1.25,0.12,6.0,12.0,0.31335095697014714,0.0032244464516803053,0.056041675219518555
J_geom_plus_0p1J_dyn,17,C100_Cp3_B6_wB6,0.3138421663173788,100.0,3.0,1.25,0.12,6.0,6.0,0.31343693522902744,0.004052310883514065,0.056743190015356756
J_geom_plus_0p1J_dyn,18,C100_Cp3_B6_wB8,0.3138661243240529,100.0,3.0,1.25,0.12,6.0,8.0,0.3134623878583095,0.00403736465743456,0.056735124063982005
J_geom_plus_0p1J_dyn,19,C100_Cp3_B6_wB10,0.31387265473026815,100.0,3.0,1.25,0.12,6.0,10.0,0.31346932581171755,0.004033289185505786,0.056732924273705104
J_geom_plus_0p1J_dyn,20,C100_Cp3_B6_wB12,0.313874998685474,100.0,3.0,1.25,0.12,6.0,12.0,0.31347181606303254,0.004031826224415156,0.05673213457890069
0p1J_geom_plus_J_dyn,1,C20_Cp3_B6_wB12,0.03266575544544955,20.0,3.0,1.25,0.12,6.0,12.0,0.31311082357155945,0.0013546730882935995,0.05444944364604883
