series,observer_family,tau,min_sampled_avg,center_at_min,qi_proxy_bound,qi_proxy_margin,status
target_zero_flux_Tkk,matching_mean,2.0,-0.0005892829634949711,33.54,-0.0005936788104043229,4.395846909351813e-06,above_proxy_bound
target_zero_flux_Tkk,matching_mean,5.0,-0.0005422691844013856,34.32,-1.5198177546350666e-05,-0.0005270710068550349,below_proxy_bound
target_zero_flux_Tkk,matching_mean,10.0,-0.0004680249898931817,40.56,-9.498860966469166e-07,-0.00046707510379653475,below_proxy_bound
target_zero_flux_Tkk,matching_mean,20.0,-0.0002049759341489296,80.34,-5.936788104043229e-08,-0.00020491656626788916,below_proxy_bound
target_zero_flux_Tkk,matching_mean,40.0,-8.278373524264999e-05,160.68,-3.710492565027018e-09,-8.278002475008496e-05,below_proxy_bound
target_zero_flux_Tkk,matching_mean,80.0,,,-2.3190578531418863e-10,,
combined_flux_completed_Tkk_min,core_line,0.5,-0.0012211047941888143,177.06,-0.15198177546350666,0.15076067066931784,above_proxy_bound
combined_flux_completed_Tkk_min,core_line,1.0,-0.0012051186313241718,177.06,-0.009498860966469166,0.008293742335144995,above_proxy_bound
combined_flux_completed_Tkk_min,core_line,2.0,-0.0011730955231277623,177.06,-0.0005936788104043229,-0.0005794167127234394,below_proxy_bound
combined_flux_completed_Tkk_min,core_line,5.0,-0.001077134854126836,177.06,-1.5198177546350666e-05,-0.0010619366765804855,below_proxy_bound
combined_flux_completed_Tkk_min,core_line,10.0,-0.000922190812956987,176.28,-9.498860966469166e-07,-0.0009212409268603401,below_proxy_bound
combined_flux_completed_Tkk_min,core_line,20.0,-0.0006564319585650599,174.72,-5.936788104043229e-08,-0.0006563725906840194,below_proxy_bound
combined_flux_completed_Tkk_min,core_line,40.0,-0.0003349214913694388,167.70000000000002,-3.710492565027018e-09,-0.0003349177808768738,below_proxy_bound
combined_flux_completed_Tkk_min,core_line,80.0,,,-2.3190578531418863e-10,,
combined_flux_completed_Tkk_min,access_mean,0.5,-0.001502884378410615,152.88,-0.15198177546350666,0.15047889108509604,above_proxy_bound
combined_flux_completed_Tkk_min,access_mean,1.0,-0.0013351301854325733,152.88,-0.009498860966469166,0.008163730781036594,above_proxy_bound
combined_flux_completed_Tkk_min,access_mean,2.0,-0.0011324936941079407,153.66,-0.0005936788104043229,-0.0005388148837036178,below_proxy_bound
combined_flux_completed_Tkk_min,access_mean,5.0,-0.0010467659356841197,177.06,-1.5198177546350666e-05,-0.001031567758137769,below_proxy_bound
combined_flux_completed_Tkk_min,access_mean,10.0,-0.0009071264813451768,176.28,-9.498860966469166e-07,-0.0009061765952485299,below_proxy_bound
combined_flux_completed_Tkk_min,access_mean,20.0,-0.0006580554714296807,175.5,-5.936788104043229e-08,-0.0006579961035486403,below_proxy_bound
combined_flux_completed_Tkk_min,access_mean,40.0,-0.00032528656419693466,170.82,-3.710492565027018e-09,-0.00032528285370436965,below_proxy_bound
combined_flux_completed_Tkk_min,access_mean,80.0,,,-2.3190578531418863e-10,,
combined_flux_completed_Tkk_min,support_mean,0.5,-0.009952753426448769,2.34,-0.15198177546350666,0.1420290220370579,above_proxy_bound
combined_flux_completed_Tkk_min,support_mean,1.0,-0.009656089136375128,4.68,-0.009498860966469166,-0.0001572281699059614,below_proxy_bound
combined_flux_completed_Tkk_min,support_mean,2.0,-0.008808403151586645,8.58,-0.0005936788104043229,-0.008214724341182322,below_proxy_bound
combined_flux_completed_Tkk_min,support_mean,5.0,-0.00453188208336954,20.28,-1.5198177546350666e-05,-0.004516683905823189,below_proxy_bound
combined_flux_completed_Tkk_min,support_mean,10.0,-0.0004456781038031876,187.98000000000002,-9.498860966469166e-07,-0.00044472821770654065,below_proxy_bound
combined_flux_completed_Tkk_min,support_mean,20.0,4.1212117517879974e-05,187.98000000000002,-5.936788104043229e-08,4.1271485398920404e-05,above_proxy_bound
