As,Ah,access_mean_ratio,access_mean_neg,access_mean_pos,support_mean_ratio,support_mean_neg,support_mean_pos,support_ring_mean_ratio,support_ring_mean_neg,support_ring_mean_pos,shoulder_mean_ratio,shoulder_mean_neg,shoulder_mean_pos,score,passes
0.024,0.018,1.543693866259451,0.09307113368557654,0.14367333819625333,3.135210752887279,0.529794368098228,1.661016999680717,1.277729454059476,1.6714388974748795,2.135646709964363,1.3356038941558805,0.6765497218268337,0.9036024430620102,0.40349270058362385,True
0.024,0.02,1.5436938726505354,0.09307113366843656,0.1436733387646199,3.1353744414467233,0.5297900135482604,1.66109006781296,1.278716935889357,1.6712756857844608,2.1370885239527024,1.5553320795579892,0.6628603484220771,1.030967964167858,0.4037006808437356,True
0.024,0.024,1.543693885432704,0.09307113363415659,0.14367333990135306,3.1357018266382632,0.529781304448325,1.661236204077446,1.2806924782689477,1.6709492624036248,2.1399721519293813,2.0175820187726123,0.6389660674882242,1.2891664483701086,0.4041168123912245,True
0.024,0.028,1.5436938982148727,0.09307113359987662,0.1436733410380862,3.1360292225937827,0.5297725953483896,1.661382340341932,1.282668792651899,1.6706228390227884,2.1428557799060606,2.5067502478187524,0.6187303198228571,1.551002382548948,0.4045787378388661,True
0.024,0.032,1.5436939109970413,0.09307113356559665,0.14367334217481936,3.136356629313809,0.5297638862484543,1.6615284766064176,1.284645879490824,1.6702964156419524,2.14573940788274,3.019641543511817,0.6012602980610708,1.8155905744895373,0.6749770934149762,True
0.02,0.02,1.398994519917099,0.09350668181545196,0.13081533543546314,2.4771607367958826,0.5491430742916953,1.3603156625187967,0.9994206251572503,1.7216028418277531,1.7206053884520016,1.5693616616307744,0.6609405776477288,1.0372548031764592,0.09350981657733964,False
0.02,0.018,1.3989945135646267,0.0935066818367318,0.13081533487123492,2.4770058645499926,0.5491482361184279,1.3602434013726548,0.9984884921480243,1.721789449719385,1.7191869514466953,1.3487666517763497,0.674524474713665,0.9097761173007645,0.09929751271051301,False
0.02,0.016,1.3989945072121548,0.09350668185801163,0.1308153343070067,2.4768509952155795,0.5491533979451604,1.3601711402265124,0.9975565611664341,1.721976057611017,1.7177685144413894,1.1365743659093204,0.6895891782602486,0.7837693830190826,0.10525767233473338,False
0.02,0.014,1.3989945008596827,0.09350668187929145,0.13081533374277848,2.476696128792562,0.5491585597718929,1.3600988790803705,0.9966248321468061,1.722162665502649,1.7163500774360836,0.9336047793864846,0.7064575598227023,0.6595521542841976,1.0405940386357186,False
0.022,0.014,1.4712218002759256,0.0932797145551747,0.1372351495771033,2.801112975118552,0.5391135778329237,1.510118037930416,1.1341856695733243,1.6961216852464365,1.9237169092590762,0.9279373483471381,0.707593343594874,0.6566022909635221,1.1323475100260885,False
0.024,0.014,1.5436938534772824,0.09307113371985651,0.14367333705952018,3.1348833838407106,0.5298030771981634,1.6608708634162312,1.275755068837047,1.6717653208557155,2.132763081987684,0.9222783579989345,0.7087473265045723,0.6536623205247809,1.5634721266176028,False
0.018,0.028,1.327037618280849,0.09375639730563678,0.12441826617907852,2.163151627761447,0.5600455031337127,1.2114633417241907,0.8696277954525522,1.7487429467848057,1.520755473625679,2.5327886657112355,0.6162683941935274,1.5608776038494554,2.5729994957399676,False
0.018,0.024,1.327037605626363,0.0937563973527959,0.12441826505522142,2.16285192488093,0.5600566836458964,1.2113196762659788,0.8678222405660837,1.749141419945033,1.5179438261236484,2.0411549626629863,0.6363316168177819,1.2988514375669977,2.6301625655005236,False
0.018,0.02,1.3270375929718778,0.09375639739995498,0.12441826393136435,2.162552233966219,0.5600678641580803,1.2111760108077672,0.8660175081417546,1.7495398931052604,1.5151321786216179,1.5763754938184096,0.6599976588934692,1.0404041354572025,2.6890257636039525,False
0.018,0.018,1.327037586644635,0.09375639742353453,0.12441826336943582,2.1624023929958174,0.5600734544141721,1.211104178078661,0.8651154501772967,1.749739129685374,1.5137263548706024,1.3553478385058733,0.6735349352989086,0.9128741187155825,2.718691477023552,False
0.018,0.016,1.3270375803173922,0.09375639744711407,0.12441826280750726,2.162252555016597,0.5600790446702641,1.211032345349555,0.8642135976177235,1.7499383662654875,1.512320531119587,1.1427089925941436,0.688550524101379,0.7868128757460677,2.7485131214858094,False
0.018,0.032,1.3270376309353347,0.09375639725847768,0.12441826730293559,2.1634513426084863,0.560034322621529,1.2116070071824026,0.8714341733635131,1.7483444736245786,1.5235671211277098,3.0481396403611223,0.5989244720474334,1.825605424830169,2.814769203026462,False
0.018,0.014,1.3270375739901497,0.09375639747069361,0.12441826224557873,2.1621027200284715,0.560084634926356,1.2109605126204492,0.8633119503928843,1.7501376028456013,1.5109147073685718,0.9392789547924104,0.7053472719376763,0.6625178483513081,3.601521392538178,False
