As,Ah,access_mean_ratio,access_mean_neg,access_mean_pos,support_mean_ratio,support_mean_neg,support_mean_pos,support_ring_mean_ratio,support_ring_mean_neg,support_ring_mean_pos,shoulder_mean_ratio,shoulder_mean_neg,shoulder_mean_pos,score,passes
0.02,0.028,1.3989945453269874,0.09350668173033261,0.130815337692376,2.477780254895853,0.549122426984765,1.3606047071033651,1.0031511787849676,1.7208564102612254,1.726279136473226,2.5241302339407885,0.6170750792299506,1.5575778640957512,0.07266818825371459,True
0.02,0.024,1.398994532622043,0.09350668177289229,0.13081533656391955,2.477470490022421,0.5491327506382302,1.3604601848110809,1.0012854975214431,1.7212296260444893,1.723442262462614,2.0333087672987133,0.6371954948168301,1.2956151860943228,0.08245226525910498,True
0.022,0.016,1.4712218066495744,0.09327971453602123,0.13723515014345644,2.801272432182289,0.5391088353547091,1.5101907184250751,1.1351458614397876,1.6959472347490294,1.925147484745624,1.130442035252793,0.690644376445367,0.7807334345448081,0.09076507839303195,True
0.022,0.018,1.4712218130232229,0.09327971451686777,0.13723515070980957,2.8014318920515024,0.5391040928764946,1.5102633989197352,1.1361062508633173,1.695772784251623,1.9265780602321718,1.3421873447526735,0.6755234325757029,0.9066790022870078,0.09086118554574862,True
0.022,0.02,1.4712218193968716,0.09327971449771431,0.1372351512761627,2.801591354726264,0.5390993503982802,1.5103360794143947,1.1370668379048907,1.6955983337542162,1.9280086357187196,1.5623538559205474,0.6618865596942067,1.034101018720245,0.09095734524562325,True
0.022,0.024,1.4712218321441688,0.09327971445940739,0.13723515240886897,2.8019102884927336,0.5390898654418512,1.5104814404037143,1.1389886050861997,1.695249432759403,1.930869786691815,2.0254392257305107,0.6380807762123677,1.2923938333251215,0.09114982229776564,True
0.022,0.028,1.4712218448914658,0.09327971442110047,0.13723515354157523,2.8022292334822887,0.5390803804854223,1.5106268013930335,1.140911163472029,1.6949005317645898,1.9337309376649103,2.5154335598834114,0.6179026871863926,1.5542931560908189,0.09158070434196662,True
0.02,0.032,1.3989945580319318,0.09350668168777293,0.13081533882083243,2.4780900314168335,0.5491121033312999,1.3607492293956494,1.0050176694742352,1.7204831944779615,1.7291160104838381,3.038630344170352,0.599701379194716,1.822270808261905,0.3525343315109281,True
0.022,0.032,1.471221857638763,0.09327971438279355,0.1372351546742815,2.8025481896955244,0.5390708955289932,1.5107721623823531,1.1428345135510964,1.6945516307697763,1.936592088638006,3.0291286287785915,0.6004806163210468,1.8189330259247263,0.3715125128811515,True
0.024,0.016,1.5436938598683667,0.09307113370271652,0.14367333762788675,3.1350470670186303,0.5297987226481957,1.6609439315484742,1.2767421650608652,1.6716021091652973,2.134204895976023,1.1243118460048696,0.6917277682036836,0.7777177240019233,0.4032847773289648,True
