series,observer_family,tau,min_sampled_avg,center_at_min,qi_proxy_bound,qi_proxy_margin,status
target_zero_flux_Tkk,core_line,0.5,-0.0012211047941888067,177.06,-0.15198177546350666,0.15076067066931786,above_proxy_bound
target_zero_flux_Tkk,core_line,1.0,-0.0012051186313241562,177.06,-0.009498860966469166,0.00829374233514501,above_proxy_bound
target_zero_flux_Tkk,core_line,2.0,-0.0011730955231277313,177.06,-0.0005936788104043229,-0.0005794167127234084,below_proxy_bound
target_zero_flux_Tkk,core_line,5.0,-0.0010771348541267574,177.06,-1.5198177546350666e-05,-0.0010619366765804068,below_proxy_bound
target_zero_flux_Tkk,core_line,10.0,-0.0009221908129568275,176.28,-9.498860966469166e-07,-0.0009212409268601807,below_proxy_bound
target_zero_flux_Tkk,core_line,20.0,-0.0006564319585647381,174.72,-5.936788104043229e-08,-0.0006563725906836976,below_proxy_bound
target_zero_flux_Tkk,core_line,40.0,-0.00033492149136880287,167.70000000000002,-3.710492565027018e-09,-0.00033491778087623786,below_proxy_bound
target_zero_flux_Tkk,core_line,80.0,,,-2.3190578531418863e-10,,
target_zero_flux_Tkk,access_mean,0.5,-0.001290756386283828,152.88,-0.15198177546350666,0.15069101907722285,above_proxy_bound
target_zero_flux_Tkk,access_mean,1.0,-0.001164338269213282,153.66,-0.009498860966469166,0.008334522697255884,above_proxy_bound
target_zero_flux_Tkk,access_mean,2.0,-0.0011263489639211765,176.28,-0.0005936788104043229,-0.0005326701535168536,below_proxy_bound
target_zero_flux_Tkk,access_mean,5.0,-0.001032042349320714,176.28,-1.5198177546350666e-05,-0.0010168441717743634,below_proxy_bound
target_zero_flux_Tkk,access_mean,10.0,-0.0008786896488344165,176.28,-9.498860966469166e-07,-0.0008777397627377696,below_proxy_bound
target_zero_flux_Tkk,access_mean,20.0,-0.0006093059182458411,173.94,-5.936788104043229e-08,-0.0006092465503648006,below_proxy_bound
target_zero_flux_Tkk,access_mean,40.0,-0.0002613576501101623,169.26000000000002,-3.710492565027018e-09,-0.0002613539396175973,below_proxy_bound
target_zero_flux_Tkk,access_mean,80.0,,,-2.3190578531418863e-10,,
target_zero_flux_Tkk,support_mean,0.5,-0.009943745683298755,2.34,-0.15198177546350666,0.1420380297802079,above_proxy_bound
target_zero_flux_Tkk,support_mean,1.0,-0.00963697285585165,4.68,-0.009498860966469166,-0.00013811188938248412,below_proxy_bound
target_zero_flux_Tkk,support_mean,2.0,-0.008769934279810704,8.58,-0.0005936788104043229,-0.008176255469406382,below_proxy_bound
target_zero_flux_Tkk,support_mean,5.0,-0.004438867752967539,20.28,-1.5198177546350666e-05,-0.004423669575421188,below_proxy_bound
