suite,configs,clean_configs,exit_gtt_positive_configs,traverse_gtt_positive_configs,worst_exit_max_gtt,worst_exit_min_margin,worst_exit_theta_product,worst_exit_Kretsch,mean_throat_burden_share,min_throat_burden_share,post_worst_gtt_departure
coherent_tanh_r2,336,336,0,0,-1.0,1.0,657.3693185260394,80136999.155178,0.9948333891263117,0.9123384976141357,0.006758747998256487
coherent_smoothstep_compact,336,336,0,0,-0.9999999999999911,0.9999999999999956,6621.658975223086,216577300.63565132,0.9574225540672051,0.8068017353564031,0.0
coherent_cinf_compact,336,336,0,0,-1.0,1.0,13574.47096531759,464221025.5699552,0.9556565214734379,0.8068017353564717,0.0
coherent_supergaussian,336,336,0,0,-1.0,1.0,432.4216056995187,390466.9941478096,0.5057416347632676,0.017812866967534216,0.04351947065872652
E_cinf_compact_q_tanh,336,332,4,0,82184.42803051541,-26.405872491817036,657.3693185260394,80128627.79008465,0.9948323742037869,0.9123384976141357,0.006758747998256487
E_cinf_compact_q_logistic_soft,336,330,6,0,228373.8647468009,-55.750037680557625,432.42160652786544,80099574.37663168,0.9965249110946578,0.9608266344698435,0.04351950223962442
