phase,zone,target_min,target_max,nmc_min,nmc_max,infra_min,infra_max,infra_mean,nmc_mean
B_setup,access,-0.0010787433482687939,0.00046920713505983264,0.0,1.7753494181899125e-05,-0.0010787433482687939,0.00046920713505983264,-1.643892475536556e-05,1.051977849398885e-07
B_setup,support,-0.04255968884524484,0.018908064824622366,-0.0049835907935207235,1.7753494181899125e-05,-0.04255968884524484,0.018908064824622366,0.0021706216827774272,-1.2861647100245234e-05
B_setup,support_ring,-0.07744167869725806,0.018908064824622366,-0.010031926604906089,5.617237482259382e-06,-0.07744167869725806,0.018908064824622366,-0.00030282910695385437,-3.743085012297417e-05
B_setup,shoulder,-0.11933244724220496,0.0283596237499438,-0.008988515969627261,0.0029147318286444216,-0.11933244724220496,0.0283596237499438,0.00019203011299504538,-8.711861426948065e-06
B_setup,matching,-0.000754977753284282,-1.2391483524983496e-05,0.0,2.697710345106581e-06,-0.000754977753284282,-1.2391483524983496e-05,-0.0002332128140922185,1.5935594423237737e-09
R_open,access,-0.0016327726635759702,-9.798582531033578e-05,-0.0017890640652837345,3.559085240422907e-05,-0.0007778268465617235,0.00016601836423250872,-0.00037408792567664666,-0.0007583673229719619
R_open,support,-0.004407663730986713,0.00032183473781443055,-0.0074390806285525675,0.002607243211415245,-0.0034811129447519136,0.0030314168975658544,0.0005037071574046947,-0.0022254146714262932
R_open,support_ring,-0.005398219579242913,0.000946660496710364,-0.0074390806285525675,0.010651177557074072,-0.012557926267226323,0.0030314168975658544,-0.0008525543588377622,-0.0011654053772195477
R_open,shoulder,-0.004896816182334738,0.0018073261426358198,-0.016534383076799945,0.046562209372786934,-0.05145902555512167,0.015598126563028804,-0.0004106062492737162,0.0001230487120044444
R_open,matching,-9.35601856850837e-05,-1.2452259811816845e-05,-1.7321735698003782e-06,2.6832497384795937e-06,-9.356018568508372e-05,-1.0720086242016467e-05,-3.704373886362811e-05,2.19160169863394e-08
hold,access,-0.0012055284735358884,-0.0011069757549442866,-0.0011714627441401426,-0.0009834292218879872,-0.0002220992516479012,3.445878332253207e-05,-5.3388635686940686e-05,-0.0011055748598513746
hold,support,-0.0012055284735358884,9.303663191142374e-05,-0.001343154477516751,0.002004653579639943,-0.002494213350907823,0.0003810392312256043,-0.00030239265355602366,-0.0005760487941650557
hold,support_ring,-0.0009621152462911467,0.0004690915292110111,-0.002975246809330744,0.004050278511678409,-0.004364538242560282,0.0030508641572799936,-0.0011788231475807665,0.000535298680731806
