fit_target,observer_family,target_rms,fit_rms,residual_rms,relative_rms_error,correlation,target_min,fit_min,target_max,fit_max
localized_nmc_support_target,core_line,0.0004873066293345559,0.00038964797693942293,0.00011615092681160858,0.23835285587307484,0.9876203927054524,-0.0012055284735358884,-0.0009834292218879872,0.0,3.559085240422907e-05
localized_nmc_support_target,access_mean,0.0004875406358649895,0.0004559156894206956,7.480634602375446e-05,0.1534361251256323,0.9875652497874472,-0.001433183384335685,-0.0016907066002719113,0.0,1.183566278793275e-05
localized_nmc_support_target,support_mean,0.0004185227857555099,0.0004476312990315526,0.0001841080462789403,0.43989969602874013,0.9004851958298866,-0.0023148073697921543,-0.0031283177471207128,0.0,0.0
localized_nmc_support_target,support_ring_mean,0.00031928512369375846,0.0005787674631953116,0.0006246575215513497,1.9564253859658238,0.15398207079924978,-0.002310947762015459,-0.006109162304367124,0.0,0.0014584265117275085
localized_nmc_support_target,shoulder_mean,8.4219591759450515e-22,8.328364476084429e-05,8.328364476084429e-05,832836440.5943284,0.17215000905010677,-9.39277957031669e-21,-0.0009691899899382935,0.0,0.0004840465081600486
localized_nmc_support_target,matching_mean,0.0,5.63673875472455e-08,5.63673875472455e-08,563673.8754724549,,0.0,-1.6699603762371737e-07,0.0,2.501139754866642e-07
total_source_using_nmc_only,core_line,0.0012797810297292829,0.00038964797693942293,0.001189059616192869,0.9291117687152186,0.4067224250010001,-0.0012055284735358884,-0.0009834292218879872,0.008177546861401262,3.559085240422907e-05
total_source_using_nmc_only,access_mean,0.0013092730497583289,0.0004559156894206956,0.001217416555221276,0.9298416058842789,0.4063325185587555,-0.0014331909381026786,-0.0016907066002719113,0.008159648084163132,1.183566278793275e-05
total_source_using_nmc_only,support_mean,0.007243163153993086,0.0004476312990315526,0.007230041168031539,0.9981883624899252,0.1505433671871214,-0.014950965494058006,-0.0031283177471207128,0.010850456848216082,0.0
total_source_using_nmc_only,support_ring_mean,0.013809409366789656,0.0005787674631953116,0.01381396855492472,1.0003301508351252,0.014092955043775866,-0.03588588456365037,-0.006109162304367124,0.014992737705644105,0.0014584265117275085
total_source_using_nmc_only,shoulder_mean,0.004238530220186137,8.328364476084429e-05,0.004238477531362398,0.9999875690579044,0.019565807755866284,-0.009568699304188157,-0.0009691899899382935,0.005572071415192815,0.0004840465081600486
total_source_using_nmc_only,matching_mean,0.000268615225514095,5.63673875472455e-08,0.0002686128597048096,0.9999911921996232,-0.2540524862240189,-0.0006234573578832419,-1.6699603762371737e-07,-3.702182208006424e-05,2.501139754866642e-07
