case,min_rho_all,min_rho_pkt_packet_support,max_abs_j_l_edge,max_abs_p_l_edge,max_abs_pOmega_edge,max_abs_pOmega_all,min_Tkk_edge,min_Tkk_packet_support,packet_positive_points,edge_gtt_positive_points,max_packet_norm,max_gtt_edge
static_sharp_q,-0.10294929132350406,-0.16582753476874817,0.14673587276707167,0.07908166359053392,1.2861540244214245,1.37840612830635,-0.800501680527808,-0.7989587883965985,0,0,-0.7499999988257764,-1.0000000003278715
soft_sharp_q,-0.030123653463634333,-0.0452586857104202,0.07347404843529194,0.03142969616009326,1.2749331492708535,1.3664490918610925,-0.323194296952765,-0.31961697712684956,0,0,-0.7499999988257764,-1.0000000003278715
soft_wide_tanh_q_w08,-0.03571617325185884,-0.038030224234064956,0.022964589780725422,0.04397725167378513,1.1452780858746157,1.3035710900126043,-0.28463127109399755,-0.19988050050051243,0,0,-0.7499999999952451,-1.0071854709430035
soft_minjerk_q_t0m04_Tr30,-0.027982479194087046,-0.037729244388776007,0.03760694244407227,0.03143000736832874,1.1464012697656274,1.3086650253826932,-0.2903992419382475,-0.20194193933821225,0,0,-0.7499999999824467,-1.0
static_minjerk_q_t0m04_Tr30,-0.10294929133628189,-0.13779114332241918,0.049504622898060006,0.0790823225564402,1.1584233974183027,1.3220544457654102,-0.8014785962404503,-0.5293812511619471,0,0,-0.7499999999824467,-1.0
