case,region,phase,n,min_rho,min_rho_pkt,max_abs_j_l,max_abs_p_l,max_abs_pOmega,min_Tkk,max_packet_norm,max_gtt
static_sharp_q,core,precatch,1632,0.020910366290854618,0.02090870372590725,0.00010358325735637663,0.025464999463860948,9.493985312442944e-06,-0.3035620336740976,639425.2694952475,628230.2117292986
static_sharp_q,core,catch,816,0.020910774865928104,0.02091045910280441,9.136862990288819e-05,0.02546495486884397,8.815914020518944e-06,-0.23624846255916054,372742.5570900244,381674.31353419577
static_sharp_q,core,hold,816,0.020910806877697523,0.02091080627079275,1.1824488138856282e-05,0.0254647915678514,2.087203264208114e-06,-0.03450759154475236,-345627.66907740274,-346558.64715395035
static_sharp_q,core,shift_fade,1326,0.02089661701291185,0.0207773056024646,0.015376317892276208,0.025464790894703257,0.0026224734144693752,-0.503133027992444,-775.5599938664033,-806.4930930180069
static_sharp_q,core,decompression,3162,-0.025446630099192267,-0.06464796238772177,0.11862408095295625,0.025464790894703267,1.1954713431380484,-0.512092943805186,-0.7500037912559752,-1.0000046233429836
static_sharp_q,core,tail,1530,-0.025447056809386585,-0.04241767268935387,9.018814907353388e-07,0.025464790894703267,0.02545590851735837,-0.05091184787596092,-0.750000002768286,-1.0000000033758565
static_sharp_q,packet,precatch,961,0.017240120155050158,0.017239145786802884,0.00010358325735637663,0.025464999463860948,9.493985312442944e-06,-0.35829271990587586,-110175.97687314881,628230.2117292986
static_sharp_q,packet,catch,480,0.01969364645242585,0.01969364467985145,9.136862990288819e-05,0.02546495486884397,8.815914020518944e-06,-0.23624846255916054,-213842.11001469428,381674.31353419577
static_sharp_q,packet,hold,480,0.01520637147509183,0.015206368273829072,1.1824488138856282e-05,0.025455916955658128,3.615500619013529e-06,-0.1495536042175445,-330889.5346596743,-331840.8435089642
static_sharp_q,packet,shift_fade,779,-0.10138154930421688,-0.17435244274800654,0.07423051467690836,0.07908166359053392,1.3784059328142686,-0.7989587883965985,-0.777769129363791,-1.0298546111640978
static_sharp_q,packet,decompression,1817,-0.09236969463097391,-0.18094281875323268,0.14867447005572093,0.07259673856458734,1.2369265062865775,-0.7394855760020405,-0.7499999988257764,-1.0
static_sharp_q,packet,tail,242,-0.001391641665043799,-0.002319246774632054,1.3805104199194577e-16,0.0013911736637162095,0.0013914076690978558,-0.002782815328762002,-0.7499999999995624,-1.0
static_sharp_q,packet_support,precatch,961,0.017240120155050158,0.017239145786802884,0.00010358325735637663,0.025464999463860948,9.493985312442944e-06,-0.35829271990587586,-110175.97687314881,628230.2117292986
static_sharp_q,packet_support,catch,480,0.01969364645242585,0.01969364467985145,9.136862990288819e-05,0.02546495486884397,8.815914020518944e-06,-0.23624846255916054,-213842.11001469428,381674.31353419577
static_sharp_q,packet_support,hold,480,0.01520637147509183,0.015206368273829072,1.1824488138856282e-05,0.025455916955658128,3.615500619013529e-06,-0.1495536042175445,-330889.5346596743,-331840.8435089642
static_sharp_q,packet_support,shift_fade,738,-0.09683889402830395,-0.16582753476874817,0.07423051467690836,0.07908166359053392,1.2861526997857016,-0.7989587883965985,-1.6856673672858022,-2.0868278111801777
