setup_support_amp,setup_shoulder_amp,support_setup_reset_ratio,shoulder_setup_reset_ratio,support_full_ratio,shoulder_full_ratio,core_full_ratio,access_setup_reset_pos_overlay,support_setup_reset_pos_overlay,access_setup_reset_neg_total,support_setup_reset_neg_total,shoulder_setup_reset_neg_total,shoulder_setup_reset_pos_overlay,access_leakage_fraction_vs_support_setup,ledger_balance_error,passes_setup_reset_ledger,score
0.0066,0.007500000000000001,1.0807298731395214,1.0815364279562356,1.1178401165226821,1.1185787301138792,1.0833441147305005,0.016067524050130295,0.5315964470528112,0.006336305682472407,0.4918865113893094,0.5619877066169531,0.6078101767698174,0.030225040327506263,2.893325664496849e-06,True,-0.06115797398067702
0.0066,0.0074,1.0807227063355416,1.0646150673216601,1.117833649998688,1.101302268459954,1.0833441147302445,0.01606752403016735,0.5315933716133004,0.006336305683954411,0.49188692760587827,0.5633079102137526,0.599706088755039,0.030225215151582812,0.0002372184579644845,True,-0.061387648761130106
0.0065,0.007500000000000001,1.0619788933053484,1.0815363147296486,1.100916627736649,1.1185786145116479,1.0833435328461563,0.01582407673872258,0.5235454502484248,0.006354688417149064,0.4929904478787884,0.5619877153593886,0.6078101225931289,0.030224838609931477,0.00032712054944855265,True,-0.0614767977693115
0.0066,0.0076,1.0807370399556304,1.0985130742800122,1.1178465830565074,1.1359122079900044,1.0833441147307565,0.01606752407009324,0.531599522492322,0.006336305680990403,0.4918860951727404,0.5606799583958321,0.6159142647845959,0.03022486550545251,0.0003432771471934427,True,-0.06150300815809846
0.0067,0.007500000000000001,1.0995314530751918,1.0815365411828257,1.1348006947073335,1.1185788457161134,1.083344686051103,0.016310971361538015,0.5396474438571977,0.006318234263224741,0.49079764143890536,0.5619876978745175,0.6078102309465057,0.0302252360262346,0.0003838386180349374,True,-0.06154431067050414
0.0065,0.0074,1.0619717464962268,1.0646149544102035,1.1009101759920024,1.101302153181624,1.0833435328458945,0.015824076718759635,0.523542374808914,0.006354688418656747,0.4929908696123424,0.5633079190688116,0.5997060345783505,0.0302250161212551,0.0005617175521964315,True,-0.06170674979470663
0.0067,0.0074,1.099524255220506,1.0646151802331194,1.1347942031158373,1.1013023837382876,1.0833446860508509,0.016310971341575074,0.5396443684176868,0.00631823426470573,0.49079805730112047,0.5633079013586939,0.5997061429317272,0.030225408243212296,0.0006178892211748554,True,-0.06177370570759944
0.0065,0.0076,1.0619860401266972,1.0985129605246222,1.1009230794912144,1.1359120918393117,1.083343532846418,0.01582407675868552,0.5235485256879355,0.00635468841564138,0.49299002614523446,0.5606799671382676,0.6159142106079074,0.030224661100693336,0.0006672324577031848,True,-0.06182155465908985
0.0067,0.0076,1.0995386509420753,1.0985131880354055,1.1348071863087101,1.1359123241407003,1.0833446860513551,0.016310971381500963,0.5396505192967084,0.0063182342617437515,0.49079722557669014,0.5606799496533963,0.6159143189612841,0.030225063811219838,0.0007244970118705359,True,-0.06188962463431021
0.0066,0.0073,1.0807155395436898,1.047750039087233,1.117827183484525,1.0840839088391578,1.0833441147299885,0.016067524010204406,0.5315902961737896,0.006336305685436415,0.4918873438224472,0.5646403995896239,0.5916020007402603,0.030225389977682208,0.00104057197571359,True,-0.06218635193107801
