setup_support_amp,setup_shoulder_amp,access_setup_reset_pos_overlay,access_setup_reset_neg_total,support_setup_reset_neg_total,support_setup_reset_pos_overlay,shoulder_setup_reset_neg_total,shoulder_setup_reset_pos_overlay,support_setup_reset_ratio,shoulder_setup_reset_ratio,support_full_ratio,shoulder_full_ratio,core_full_ratio,access_leakage_fraction_vs_support_setup,ledger_balance_error,passes_setup_reset_ledger,score
0.01,0.008,0.02434473273780749,0.00581612919341801,0.4599057691724322,0.8053457155995025,0.5555763497202322,0.6483324588511137,1.7511102699334762,1.1669547474034647,1.718152497850433,1.205797784363206,1.0833614027698606,0.030228921898075963,0.4579501225061835,True,-0.5193079663023354
0.01,0.009000000000000001,0.024344732937436928,0.005816129182830687,0.45990265377902195,0.8053764699946104,0.5435982574506854,0.7293733389988984,1.751189003535481,1.341750693645417,1.7182225326293528,1.3843224001747891,1.0833614027719563,0.030227767813479592,0.5190081040908087,True,-0.5804136397177678
0.01,0.01,0.024344733137066366,0.005816129172243365,0.45989953838561165,0.8054072243897183,0.5325787779966495,0.8104142191466833,1.7512677382041801,1.521679519779476,1.7182925682546732,1.5681513426271587,1.0833614027740515,0.03022661381702043,0.645681174546384,True,-0.7071344021804248
0.01,0.011,0.024344733336695804,0.0058161291616560425,0.45989642299220135,0.8054379787848263,0.5223661390435672,0.891455099294468,1.7513464739395954,1.7065713733410957,1.718362604726409,1.7571159963354728,1.083361402776147,0.030225459908688388,0.8432977739616744,True,-0.9047986937790512
0.01,0.012,0.024344733536325245,0.00581612915106872,0.45989330759879105,0.8054687331799342,0.5128527362002913,0.972495979442253,1.7514252107417485,1.8962480080489406,1.7184326420445764,1.95103765342384,1.0833614027782423,0.030224306088473367,1.1170726242634645,True,-1.1786212364404114
0.01,0.013000000000000001,0.02434473373595468,0.005816129140481398,0.45989019220538074,0.8054994875750421,0.5039370431289627,1.0535368595900376,1.7515039486106614,2.090612059491774,1.7185026802091912,2.14982130893312,1.0833614027803373,0.030223152356365267,1.472254287789914,True,-1.5338505925026447
0.01,0.014,0.02434473393558412,0.005816129129894076,0.4598870768119705,0.80553024197015,0.49555524184297584,1.1345777397378227,1.751582687546355,2.2895080990735006,1.718572719220267,2.353310415604158,1.083361402782433,0.030221998712354016,1.9139331479363777,True,-1.9755771453610858
0.015,0.008,0.03651709830819348,0.005277924172346107,0.42511921557019816,1.207895555818822,0.5555759286824127,0.648335167685531,2.8413101821302273,1.1669605074919323,2.6797597554653017,1.2058036665025564,1.0833836444467757,0.03023199988796947,3.109775687538869,True,-3.1713896873148077
0.015,0.009000000000000001,0.03651709850782292,0.005277924164982763,0.42511693399631906,1.2079263102139302,0.543597872877732,0.729376047833316,2.841397774628254,1.3417566260369982,2.679836440965413,1.3843284601995118,1.083383644448667,0.030231230331720746,3.1710386517396385,True,-3.23270111240308
0.015,0.01,0.036517098707452365,0.005277924157619419,0.42511465242243984,1.2079570646090378,0.5325784231385965,0.8104169279811007,2.8414853680664915,1.5216856199414577,2.6799131271933576,1.5681575761338962,1.083383644450558,0.030230460814657596,3.2979168887754127,True,-3.359627810404728
