case,packet_tkk_floor_min,packet_neg_volume,packet_j_p95,packet_rhoH_p95,packet_R3_p95,packet_K_p95,support_edge_neg_volume,packet_lor_tau02,packet_neg_volume_rel,packet_j_p95_rel,packet_rhoH_p95_rel,packet_R3_p95_rel,packet_K_p95_rel,support_edge_neg_volume_rel,packet_lor_tau02_rel_abs
v01 geometry baseline,-0.789658,0.123668,0.300257,0.315277,15.847573,67.61664,0.024978,-0.020645,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced default Cperp=5,-0.124632,0.011353,0.003341,0.09602,4.82647,0.198121,0.010403,-0.0008704,0.09180224471973349,0.011127134421512237,0.3045575795253063,0.3045557827687558,0.002930062777446498,0.41648650812715193,0.04216032937757326
no-angular Cperp=1,-0.319837,0.036047,0.000403,0.315283,15.847838,0.095573,0.01,0.007999,0.2914820325387328,0.0013421835294431103,1.000019030883953,1.0000167218033953,0.0014134538480468713,0.4003523100328289,0.3874545894889803
reserve branch C0=100 Cperp=5,-0.149332,0.01604,0.013881,0.099929,5.023008,0.297073,0.012,-0.006098,0.12970210563767506,0.046230395960793584,0.3169562004205826,0.3169575555828012,0.004393489531570927,0.48042277203939465,0.29537418261080167
