V,lambda,first_packet_fail_xcatch,offset_from_xbeta,first_edge_gtt_trigger
5,3.0,0.65,-0.05,none
5,5.0,0.7,0.0,none
10,6.0,0.6,-0.1,0.90
10,11.5,0.6,-0.1,none
