suite,configs,clean_configs,exit_gtt_positive_configs,traverse_gtt_positive_configs,worst_exit_max_gtt,worst_traverse_max_gtt,worst_exit_min_margin,worst_traverse_min_margin,worst_exit_theta_product,median_exit_theta_product,worst_exit_Kretsch,median_exit_Kretsch,worst_tidal_radial,worst_tidal_angular,mean_throat_burden_share,min_throat_burden_share,post_worst_A_departure,post_worst_T_departure,post_worst_gtt_departure
E_tanh_q_smoothstep_compact,336,336,0,0,-0.9999999999950575,-1.0,0.9997308041916875,1.0,6621.658222111742,52.51270186472745,152349636.2823374,1809682.9342520912,3559.7635988823545,3559.763598882357,0.9570262837999033,0.8019133492863001,0.0,0.0,0.0
E_tanh_q_cinf_compact,336,336,0,0,-0.9999999999950575,-1.0,0.9994451370026868,1.0,13575.391565696322,17.420953487598577,296690705.0187347,1809682.9342520912,3813.87128388134,3646.801110981994,0.9569872017698896,0.8019133492863108,0.0,0.0,0.0
E_tanh_q_logistic_soft,336,336,0,0,-1.0,-1.0,1.0,1.0,394.7160106102078,28.002759435826032,7298514.680987116,1445732.1591048175,879.3370071419512,222.17882681692097,0.9948955807131596,0.952846513878695,0.019725167654251585,0.021528023227764592,0.04351950223962442
E_smoothstep_compact_q_tanh,336,336,0,0,-1.0,-1.0,0.34097107631673396,1.0,704.770495774221,41.627542357421,7299635.534150925,1499356.167044755,879.4939591585593,261.51165847240884,0.9927843671198446,0.8865417797773025,0.003093463759584303,0.003373683130196703,0.006758747998256487
E_smoothstep_compact_q_smoothstep_compact,336,336,0,0,-0.9999999999999911,-1.0,0.9999999999999956,1.0,6621.658222111742,52.51270171367186,152349636.2823374,1809682.9342520912,3559.7635988823545,3559.763598882357,0.957025879127202,0.8019133492863,0.0,0.0,0.0
E_smoothstep_compact_q_cinf_compact,336,336,0,0,-1.0,-1.0,0.9999694312448667,1.0,13575.391565696322,17.420916969555144,296690705.0187347,1809682.9342520912,3813.8718633705125,3646.8010851228823,0.9569868074541104,0.8019133492863113,0.0,0.0,0.0
E_cinf_compact_q_tanh,336,334,2,0,304875.33151084883,-1.0,-41.1805865550059,1.0,704.770495774221,41.627542357421,7299635.534150925,1499356.167044755,879.4939591585593,261.51165847240884,0.9927843726631499,0.8865417797773025,0.003093463759584303,0.003373683130196703,0.006758747998256487
E_cinf_compact_q_smoothstep_compact,336,336,0,0,-0.9999999999999911,-1.0,0.9999999999999956,1.0,6621.658222111742,52.51270171367186,152349636.2823374,1809682.9342520912,3559.7635988823545,3559.763598882357,0.9570258865560904,0.8019133492863,0.0,0.0,0.0
E_cinf_compact_q_cinf_compact,336,336,0,0,-1.0,-1.0,1.0,1.0,13575.391565696322,17.420916969555144,296690705.0187347,1809682.9342520912,3813.8718633705125,3646.8010851228823,0.9569868154609279,0.8019133492863113,0.0,0.0,0.0
E_cinf_compact_q_logistic_soft,336,330,6,0,535249.6918412285,-1.0,-125.53438083658511,1.0,394.71601061020306,28.002759417140894,7299612.068561225,1446332.7181411176,879.492646213173,222.33411337931074,0.9948951649431834,0.952846513878695,0.019725167654251585,0.021528023227764592,0.04351950223962442
E_logistic_soft_q_tanh,336,336,0,0,-1.0,-1.0,0.9999999999999999,1.0,704.770495774221,41.627542357421,7294967.139434284,1497171.9202780752,878.8316991413706,261.51165847240884,0.9927849194408646,0.8865417797773025,0.003093463759584303,0.003373683130196703,0.006758747998256487
E_logistic_soft_q_cinf_compact,336,336,0,0,-0.9999999999223389,-1.0,0.9992643722008872,1.0,13575.391565696322,17.421444399790225,296690705.0187347,1809682.9342520912,3813.867532066423,3646.8012808789877,0.956987381313758,0.8019133492863101,0.0,0.0,0.0
E_logistic_soft_q_logistic_soft,336,336,0,0,-1.0,-1.0,1.0,1.0,394.716010610513,28.00275956048057,7294943.679717831,1444140.1733138394,878.8303860852656,221.9743337876745,0.9948957312473221,0.952846513878695,0.019725167654251585,0.021528023227764592,0.04351950223962442
