suite,configs,clean_configs,exit_gtt_positive_configs,traverse_gtt_positive_configs,worst_exit_max_gtt,worst_traverse_max_gtt,worst_exit_min_margin,worst_traverse_min_margin,worst_exit_theta_product,median_exit_theta_product,worst_exit_Kretsch,median_exit_Kretsch,worst_tidal_radial,worst_tidal_angular,mean_throat_burden_share,min_throat_burden_share,post_worst_A_departure,post_worst_T_departure,post_worst_gtt_departure
coherent_tanh_r2,336,336,0,0,-1.0,-1.0,1.0,1.0,704.770495774221,41.627542357421,7298538.145204355,1498758.63100384,879.3383201135489,261.51165847240884,0.9927847749457145,0.8865417797773025,0.003093463759584303,0.003373683130196703,0.006758747998256487
coherent_smoothstep_compact,336,336,0,0,-0.9999999999999911,-1.0,0.9999999999999956,1.0,6621.658222111742,50.85308940661069,152349797.49962452,32400732.743934207,3559.8288697619805,3559.7635988823567,0.6967143425561226,0.16193922555105944,0.0,0.0,0.0
coherent_cinf_compact,336,336,0,0,-1.0,-1.0,1.0,1.0,13554.112004541368,65.7999903201104,296355899.56644267,321196.7160367861,3653.5510927501955,3652.5908012812174,0.9551964111929754,0.8019133492863113,0.0,0.0,0.0
coherent_supergaussian,336,336,0,0,-1.0,-1.00007832834326,1.0,1.0000391634047439,408.61386755989577,29.191033592211667,379512.2142502278,6481.602555639554,156.15638637168865,154.70086637820233,0.5162245344467635,0.01187173292858,0.019725146086327028,0.021527999667830366,0.043519454105358735
W_smoothstep_compact_only,336,336,0,0,-1.0,-1.0,1.0,1.0,704.770495774221,41.610270515041165,128396516.8377933,16624283.797593307,3505.2773953823944,261.5116584724089,0.7267801653142737,0.161939226346396,0.003093463759584303,0.003373683130196703,0.006758747998256487
S_smoothstep_compact_only,336,336,0,0,-1.0,-1.0,1.0,1.0,704.770495774221,41.627542357421,7967297.769350626,1511866.2324631172,969.4865453980094,261.51165847240884,0.9927849750403243,0.8865417797773025,0.003093463759584303,0.003373683130196703,0.006758747998256487
W_cinf_compact_only,336,336,0,0,-1.0,-1.0,1.0,1.0,704.1450577611319,41.80192688589866,1020939.9953405977,309378.95396090456,283.94064523778434,261.3432212789616,0.9871667454640002,0.8051802540950165,0.0030904366578052844,0.0033703813600149957,0.006752122190541998
S_cinf_compact_only,336,336,0,0,-1.0,-1.0,1.0,1.0,704.770495774221,41.627542357421,6804054.5981612,1498938.6712337658,806.3824175442967,261.51165847240884,0.9927861252623432,0.8865417797773025,0.003093463759584303,0.003373683130196703,0.006758747998256487
W_supergaussian_only,336,336,0,0,-1.0,-1.000081296141753,1.0,1.0000406472447771,704.7693798694631,43.62322188241994,1021451.4138880189,8159.221208164428,261.54007179718917,261.51135502268744,0.5290729225676306,0.009550445853938511,0.0030934604047696546,0.003373679470977553,0.006758740655127937
S_supergaussian_only,336,336,0,0,-1.0,-1.0,1.0,1.0,704.770495774221,41.627542357421,6802206.522790077,1498805.616772878,805.9795431488669,261.51165847240884,0.9927851083710431,0.8865417797773025,0.003093463759584303,0.003373683130196703,0.006758747998256487
