suite,W_profile,S_profile,E_profile,q_profile,mode,release_gap,V,lapse_lambda,C0,Delta,w_release,traverse_max_gtt,traverse_gtt_positive_points,traverse_min_margin,exit_max_gtt,exit_gtt_positive_points,exit_min_margin,exit_max_theta_product,exit_max_Kretsch,exit_max_R,exit_min_Gkk,exit_max_tidal_radial,exit_max_tidal_angular,exit_mean_throat_burden_share,exit_min_throat_burden_share,exit_max_passenger_region_burden_share,post_max_A_departure_from_1,post_max_T_departure_from_1,post_max_gtt_departure_from_minus1,clean_traverse_and_exit
E_cinf_compact_q_tanh,tanh_r2,tanh_r2,cinf_compact,tanh,synchronized,0.0,2.0,2.3,100.0,0.1,0.35,-1.0,0,1.0,97.91485639076775,3,-0.9114441230787804,33.40490939661085,70165220.13286732,19863.367943296875,-2236.2507741095997,2422.140798072665,1353.8433435046402,0.9924237644180506,0.9512239742981762,0.2506518239423424,0.0015455375366530966,0.0018253244860337858,0.003653980781546995,False
E_cinf_compact_q_tanh,tanh_r2,tanh_r2,cinf_compact,tanh,synchronized,0.0,2.0,2.3,100.0,0.1,0.18,-1.0,0,1.0,50.165785572658166,1,-0.4885137611424497,126.29959085420919,70170753.7378848,19864.17710221371,-2466.7527325544897,2422.276799655471,1353.9783834657546,0.996455284647478,0.9813280214140873,0.2484578343336214,0.0015455375366530966,0.0018253244860337858,0.003653980781546995,False
E_cinf_compact_q_tanh,tanh_r2,tanh_r2,cinf_compact,tanh,synchronized,0.0,2.0,2.3,10000.0,0.1,0.35,-1.0,0,1.0,82184.42803051541,3,-26.405872491817036,44.57169803404084,66447420.01249632,19901.47125227083,-2456.3660435380143,2122.760077933005,1723.7661619413593,0.9952551578554414,0.9733384813462148,0.20333270677767523,0.0030934637595834147,0.003373683130196703,0.006758747998256487,False
E_cinf_compact_q_tanh,tanh_r2,tanh_r2,cinf_compact,tanh,synchronized,0.0,2.0,2.3,10000.0,0.1,0.18,-1.0,0,1.0,39258.44115208539,1,-13.665940287545482,168.88962406313507,66611768.7713875,19923.818865804813,-2845.1088225454796,2123.4956538668125,1725.4826200840923,0.9975133381780931,0.9902598199364469,0.2798535108690731,0.0030934637595834147,0.003373683130196703,0.006758747998256487,False
E_cinf_compact_q_logistic_soft,tanh_r2,tanh_r2,cinf_compact,logistic_soft,synchronized,0.0,2.0,2.3,100.0,0.3,0.35,-1.000000000000004,0,1.000000000000002,33.81930593603467,2,-0.19441767682850752,20.30259342858591,1055284.0694484152,2419.980529458679,-341.43880383848966,322.3307961071188,179.44570405703178,0.994968387846535,0.9830733948709178,0.5058326302019263,0.00981441932581828,0.011599752322261958,0.02333405889846163,False
E_cinf_compact_q_logistic_soft,tanh_r2,tanh_r2,cinf_compact,logistic_soft,synchronized,0.0,2.0,2.3,100.0,0.1,0.35,-1.0,0,1.0,202.73326174771975,10,-2.397029272224856,20.302593909824132,69911410.48190856,19813.239369022853,-2179.1266687443167,2421.6400499087117,1344.571455160342,0.9957481996886143,0.980649474015241,0.25279022612795193,0.009814422383761512,0.011599755939661005,0.023334066217181704,False
E_cinf_compact_q_logistic_soft,tanh_r2,tanh_r2,cinf_compact,logistic_soft,synchronized,0.0,2.0,2.3,100.0,0.1,0.18,-1.0,0,1.0,160.32319025468038,4,-1.9782658243138158,76.76144747775174,69924126.58709034,19815.1068213179,-2357.8963245914747,2421.952957767706,1344.884363019336,0.9974439330425446,0.9917593261933693,0.3033244098433615,0.009814422383761734,0.011599755939661227,0.023334066217182148,False
E_cinf_compact_q_logistic_soft,tanh_r2,tanh_r2,cinf_compact,logistic_soft,synchronized,0.0,2.0,2.3,10000.0,0.3,0.35,-1.000000000000007,0,1.0000000000000036,65021.07491436285,2,-8.524726934424962,28.84953442533455,1234816.3150668647,2697.551315376146,-419.9061743282932,294.9430668758008,208.61903731234108,0.9963902899714804,0.9905601444087271,0.5067621499702016,0.01972516147833958,0.02152801648144642,0.04351948845651821,False
E_cinf_compact_q_logistic_soft,tanh_r2,tanh_r2,cinf_compact,logistic_soft,synchronized,0.0,2.0,2.3,10000.0,0.1,0.35,-1.0,0,1.0,228373.8647468009,10,-55.750037680557625,28.849536036189885,66978764.555525206,19942.52728525698,-2305.3975889802023,2122.6520813245274,1723.8087103008368,0.9970326442828064,0.9894070289148454,0.19950764689512102,0.01972516765424981,0.021528023227762816,0.043519502239620644,False
E_cinf_compact_q_logistic_soft,tanh_r2,tanh_r2,cinf_compact,logistic_soft,synchronized,0.0,2.0,2.3,10000.0,0.1,0.18,-1.0,0,1.0,225872.1533931673,4,-44.52880893785755,109.07627126486912,67045847.02438035,19951.87546108501,-2626.615013022976,2123.0873333563663,1725.670114447857,0.9979704591380182,0.9955064882122888,0.27976467102850333,0.019725167654250475,0.02152802322776326,0.04351950223962153,False
