case,order,B0,TB_or_Tr,TR,TH,full_core_negative_exposure,hold_core_Tkk_min,max_access_abs_Bt_over_B,max_access_abs_Rt_over_R,max_access_abs_flux
old_B_only_B8_w8_Tr10,B_only,8.0,10.0,,60.0,0.4478260646348974,-0.0012396592990686374,0.43435782383581617,8.868380899480575e-16,0.004538986439570192
old_B_only_B8_w8_Tr30,B_only,8.0,30.0,,60.0,1.1947190780164556,-0.0012396592990686374,0.1447859412786054,4.3371726952349924e-16,0.0015129954798567306
old_B_only_B8_w8_Tr100,B_only,8.0,100.0,,60.0,3.8088450174642654,-0.0012396592990686374,0.04345596118003689,4.4341904497402877e-16,0.00045373003992340476
flare_gated_B8_w8_TB100_TR5,b_first,8.0,100.0,5.0,60.0,0.08057873071235824,-0.0012396592990686374,0.04346742935512573,0.008858085825958425,0.0007905783617235148
flare_gated_B8_w8_TB100_TR10,b_first,8.0,100.0,10.0,60.0,0.08677702865968948,-0.0012396592990686374,0.0434670931728314,0.004429042912979212,0.0003952891808617574
flare_gated_B8_w8_TB100_TR30,b_first,8.0,100.0,30.0,60.0,0.11157022040850018,-0.0012396592990686639,0.04346629656420485,0.001476255813124883,0.00013175486500759253
order_b_first_B8_w8_TB100_TR30,b_first,8.0,100.0,30.0,60.0,0.11157022040850018,-0.0012396592990686639,0.04346629656420485,0.001476255813124883,0.00013175486500759253
order_simultaneous_B8_w8_TB100_TR30,simultaneous,8.0,100.0,30.0,60.0,1.7251867944269983,-0.0012396592990686639,0.04346632177599222,0.0014763775149311685,0.0007827192177266568
order_r_first_B8_w8_TB100_TR30,r_first,8.0,100.0,30.0,60.0,6.188991485450965,-0.0012396592990686639,0.04346638419703534,0.0014763723320720093,0.0010541215864707093
simultaneous_B8_w8_TB30_TR30,simultaneous,8.0,30.0,30.0,60.0,0.17234487745452204,-0.0012396592990686374,0.1447859412786054,0.0014763476376597373,0.00022098079663310978
simultaneous_B8_w8_TB10_TR10,simultaneous,8.0,10.0,10.0,60.0,0.10703466444758616,-0.0012396592990686374,0.43435782383581617,0.004429042912979212,0.0006629423898993295
simultaneous_B8_w8_TB30_TR10,simultaneous,8.0,30.0,10.0,60.0,0.5230259322877769,-0.0012396592990686374,0.14488270173972498,0.004429042912979212,0.002197590199679838
simultaneous_B8_w8_TB10_TR30,simultaneous,8.0,10.0,30.0,60.0,0.11278556110150793,-0.0012396592990686374,0.43435782383581617,0.001476962099289384,0.0001318179005855319
stretch_sensitivity_B3_w8_TB100_TR10,b_first,3.0,100.0,10.0,60.0,0.6170763844600172,-0.00881535501559921,0.02125808676500992,0.004429042912979212,0.0010541043567027625
stretch_sensitivity_B5_w8_TB100_TR10,b_first,5.0,100.0,10.0,60.0,0.22214806729136322,-0.003173527805615714,0.03225002499022278,0.004429042912979212,0.0006324626622502342
stretch_sensitivity_B8_w8_TB100_TR10,b_first,8.0,100.0,10.0,60.0,0.08677702865968948,-0.0012396592990686374,0.0434670931728314,0.004429042912979212,0.0003952891808617574
