fit_type,xi,observer_family,target_rms,fit_rms,residual_rms,relative_rms_error,correlation,target_min,fit_min,target_max,fit_max
quadratic_feature_fit,0.5,core_line,0.0012801058587855667,0.0009812498080079151,0.0004895084023837663,0.3823968142837203,0.9489680617160969,-0.0011972828703221278,-0.0008887455678386346,0.008103341689575175,0.007228930830252287
quadratic_feature_fit,0.5,access_mean,0.0013351335226945503,0.0009906812817126443,0.0005233325112513443,0.39197016801433004,0.9408470182120487,-0.0014303878413043033,-0.0013119052766593202,0.00807645354329483,0.005872918549245426
quadratic_feature_fit,0.5,support_mean,0.00386081949764639,0.0012020500487186835,0.003874082242802821,1.0034352150014194,0.0806691153668378,-0.010216249967328386,-0.0018553044991732597,0.0074389404321158845,0.005032695012372306
quadratic_feature_fit,0.5,support_ring_mean,0.010752448445198664,0.0019098965673919452,0.010638018970774923,0.9893578216063177,0.055127173619324635,-0.030688325472606953,-0.0031989580278302277,0.005788229973563707,0.009791254653425148
quadratic_feature_fit,0.5,shoulder_mean,0.003469761298818732,0.0012637921382711642,0.003056342436069371,0.8808509210768496,0.5528136736474083,-0.008654675701837342,-0.0019467954224516757,0.003395806212781493,0.002474512978777566
quadratic_feature_fit,0.5,matching_mean,0.0002694275706842809,0.0132267625531131,0.013435230734877854,49.86583479845449,-0.6917612348634742,-0.0006255457151604178,-0.09665577552279139,-3.6662676803052616e-05,0.02668312933080172
rank_one_single_scalar_approx,0.5,core_line,0.0012801058587855667,7293558.863320258,7293558.864450568,5697621656.696569,-0.9000901801413246,-0.0011972828703221278,-60020251.9738888,0.008103341689575175,-1.6697066653500542e-22
rank_one_single_scalar_approx,0.5,access_mean,0.0013351335226945503,7169325.209697937,7169325.210862842,5369743990.740958,-0.9086612500644549,-0.0014303878413043033,-48524150.6814726,0.00807645354329483,4.591593967868343e-06
rank_one_single_scalar_approx,0.5,support_mean,0.00386081949764639,4902067.6509621125,4902067.650958413,1269696149.6956315,-0.010021229165135488,-0.010216249967328386,-26909888.26122629,0.0074389404321158845,36524240.58992415
rank_one_single_scalar_approx,0.5,support_ring_mean,0.010752448445198664,15939240.27670797,15939240.276064012,1482382394.7775533,0.09548922793641272,-0.030688325472606953,-25650066.29007253,0.005788229973563707,154762251.37764582
rank_one_single_scalar_approx,0.5,shoulder_mean,0.003469761298818732,18286521.69133035,18286521.691434175,5270253517.765828,0.018791680689817517,-0.008654675701837342,-7159254.77882233,0.003395806212781493,51032677.19018506
rank_one_single_scalar_approx,0.5,matching_mean,0.0002694275706842809,237912422.73749584,237912422.73773634,883029238786.4886,-0.8272856590355324,-0.0006255457151604178,-576860.5060729891,-3.6662676803052616e-05,552726682.4087398
