slice,t,l,N,B,R,Tkk_geo_min,Tkk_total_min,src_Tkk_overlay,flux_geo,Kll,Kth,theta_plus,theta_minus,R_l,R_ll,dlogB_dl,dlogN_dl
B_setup_mid,75.075,-18.0,1.0,1.0000967902987363,18.027756377319946,-1.7708841785310056e-06,-1.7708841785310056e-06,0.0,-1.0642647437211484e-08,-2.4149733341182227e-06,-0.0,-0.11075851136837073,0.11075851136837073,-0.9984603617554626,0.00017131621820709597,0.0002254678507514232,7.105427357601002e-15
B_setup_mid,75.075,-17.97,1.0,1.0001037885860717,17.99780264365625,-1.8459643276162487e-06,-1.8459643276162487e-06,0.0,-1.1430921282612638e-08,-2.5895664854756035e-06,-3.9479415894725777e-16,-0.11094149859179475,0.11094149859179633,-0.9984552158240945,0.00017174587298995903,0.0002410377982091705,0.0
B_setup_mid,75.075,-17.94,1.0,1.0001112540676471,17.967849064370505,-1.9244380880402047e-06,-1.9244380880402047e-06,0.0,-1.2273323610274555e-08,-2.7758124986165337e-06,-0.0,-0.11112504164001157,0.11112504164001157,-0.9984500570030832,0.00017239178002270705,0.0002570798597236611,0.0
B_setup_mid,75.075,-17.91,1.0,1.000119215093726,17.937895640236064,-2.0085456282325557e-06,-2.0085456282325557e-06,0.0,-1.3173251352311442e-08,-2.974418105081459e-06,-0.0,-0.11130913868931025,0.11130913868931025,-0.9984448723172932,0.00017325682696167632,0.0002740918803029348,0.0
B_setup_mid,75.075,-17.88,1.0,1.0001277015410188,17.907942372031467,-2.0976039170744506e-06,-2.0976039170744506e-06,0.0,-1.4134291904823204e-08,-3.1861280375879724e-06,-0.0,-0.1114937891635595,0.1114937891635595,-0.9984396615934656,0.00017412767097724213,0.00029212584284162344,0.0
B_setup_mid,75.075,-17.85,1.0,1.0001367448825917,17.87798926054046,-2.1918857445972015e-06,-2.1918857445972015e-06,0.0,-1.5160232748934517e-08,-3.411726760628106e-06,-3.974399611752648e-16,-0.11167899230475412,0.1116789923047557,-0.9984344246570345,0.00017500435660622315,0.0003112360940953151,0.0
B_setup_mid,75.075,-17.82,1.0,1.0001463782602613,17.848036306552046,-2.291676918315544e-06,-2.291676918315544e-06,0.0,-1.625507370297334e-08,-3.6520402663911044e-06,-0.0,-0.11186474716344835,0.11186474716344835,-0.9984291613320693,0.0001758869302648236,0.00033147942748057966,0.0
B_setup_mid,75.075,-17.79,1.0,1.0001566365595234,17.818083510860532,-2.397276753422972e-06,-2.397276753422972e-06,0.0,-1.7423032148982375e-08,-3.9079379292129315e-06,-3.9877618450211437e-16,-0.11205105258880181,0.11205105258880341,-0.9984238714412186,0.00017677544216709862,0.0003529151672986183,0.0
B_setup_mid,75.075,-17.76,1.0,1.0001675564870642,17.788130874265573,-2.5089985815221525e-06,-2.5089985815221525e-06,0.0,-1.8668555479440517e-08,-4.180334424617187e-06,-0.0,-0.11223790721825039,0.11223790721825039,-0.9984185548055393,0.0001776699463107434,0.0003756052545648597,0.0
B_setup_mid,75.075,-17.73,1.0,1.0001791766509032,17.758178397572202,-2.6271702301236645e-06,-2.6271702301236645e-06,0.0,-1.9996333943914253e-08,-4.470191711448745e-06,-0.0,-0.11242530946677415,0.11242530946677415,-0.9984132112444399,0.00017857049196479124,0.0003996143342174931,0.0
B_setup_mid,75.075,-17.7,1.0,1.0001915376432107,17.728226081590904,-2.752134554307053e-06,-2.752134554307053e-06,0.0,-2.141130647797573e-08,-4.778521081357625e-06,-0.0,-0.11261325751582918,0.11261325751582918,-0.9984078405760215,0.00017947712744259547,0.0004250098436510981,0.0
B_setup_mid,75.075,-17.67,1.0,1.0002046821258452,17.69827392713764,-2.8842500125493987e-06,-2.8842500125493987e-06,0.0,-2.2918677498584594e-08,-5.10638526832888e-06,-0.0,-0.11280174930178774,0.11280174930178774,-0.9984024426167935,0.00018038990674895672,0.0004518621026697609,0.0
B_setup_mid,75.075,-17.64,1.0,1.0002186549186567,17.668321935033898,-3.0238911689187306e-06,-3.0238911689187306e-06,0.0,-2.452392619293343e-08,-5.454900632247798e-06,-0.0,-0.11299078250398915,0.11299078250398915,-0.9983970171816168,0.00018130888103584653,0.00048024440461203545,0.0
B_setup_mid,75.075,-17.61,1.0,1.00023350309059,17.63837010610674,-3.1714492622861116e-06,-3.1714492622861116e-06,0.0,-2.6232819377410408e-08,-5.825239405160644e-06,-0.0,-0.11318035453239579,0.11318035453239579,-0.9983915640839314,0.0001822341014694473,0.0005102331086050415,0.0
